SourceName,RptSrc,SrcEPAID,DestinationName,DestType,DestEPAID,QuarterYear,LubeOil,IndOil,Total
Clean Harbors Environmental Services,Hauler,MAD039322250,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,34994,,34994
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors Environmental,Recycler,NED981723613,April - June 2004,150,,150
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors Aragonite,Recycler,UDT981552177,April - June 2004,13203,,13203
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ San Jose_ LLC,Recycler,CAD059494310,April - June 2004,7709,,7709
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ Los Angeles_ LLC,Recycler,CAD050806850,April - June 2004,46408,,46408
Clearwater Environmental Management,Hauler,CAR000007013,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,April - June 2004,863117,,863117
Cole's Services,Hauler,CAL931545554,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,94919,,94919
Compliance Environmental Services,Hauler,CAL000161247,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,April - June 2004,26795,,26795
Compliance Environmental Services,Hauler,CAL000161247,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,21050,,21050
Consolidated Waste Industries,Hauler,CAD983668583,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,300,,300
Consultant Environmental Operations; C.E.O.,Hauler,CAL000209884,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,17685,,17685
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Crane's Waste Oil_ Inc.,Hauler,CAD980813950,April - June 2004,246000,,246000
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Crane's Waste Oil_ Inc.,Transfer Station,CAD980813950,April - June 2004,246000,,246000
D   R Oil Company,Hauler,CAL000253903,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,April - June 2004,52207,,52207
D.I. Express Waste Mgmt.,Hauler,CAL000159447,Filter Recycling Services_ Inc.,Hauler,CAD982444481,April - June 2004,23200,,23200
D.I. Express Waste Mgmt.,Hauler,CAL000159447,Filter Recycling Services_ Inc.,Transfer Station,CAD982444481,April - June 2004,23200,,23200
DK Dixon,Hauler,CAT080012602,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,768738,,768738
